loginId,Customer_Name,Customer_Age,Customer_Occupation,Credit_Card_Number,Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Product_ID,Product_Name,Category,Manufacturer,Review_Rating,Delivery_Tracking_ID,Delivery_Type,Delivery_Zip_Code,Transaction_Status,Order_Returned,Order_Delivered_on_Time
c1,Soham Suresh Satam,24,Software Engineer,1.11122E+15,18,11/8/2020,11/22/2020,11/20/2020,appleAirPods,Apple Airpods,accessories,Apple,1,18appleAirPods,del,400605,1,1,1
c1,Soham Suresh Satam,24,Software Engineer,1.11122E+15,18,11/8/2020,11/22/2020,11/22/2020,iphone11pro,iPhone 11 pro 64GB Space Gray,phones,Apple,2,18iphone11pro,del,400605,0,1,1
c1,Soham Suresh Satam,24,Software Engineer,1.11122E+15,18,11/8/2020,11/22/2020,11/24/2020,macBookPro,MacBook Pro 13 inch,laptops,Apple,1,18macBookPro,del,400605,1,1,0
c1,Soham Suresh Satam,24,Software Engineer,1.11122E+15,18,11/8/2020,11/22/2020,11/20/2020,samsung65Inch,"Samsung 65"" 4K UHD Smart TV",tvs,Samsung,4,18samsung65Inch,del,400605,0,0,1
c1,Soham Suresh Satam,24,Software Engineer,1.11122E+15,18,11/8/2020,11/22/2020,11/23/2020,sonyHTSoundbar,Sony HT 350W Channel Soundbar System,soundSystems,Sony,4,18sonyHTSoundbar,del,400605,0,0,0
c2,Nishant Pathare,25,Singer,7.77788E+11,19,11/8/2020,11/22/2020,11/20/2020,googleHomeMini,Google Home Mini,voiceAssistants,Google,4,19googleHomeMini,del,400618,1,0,1
c2,Nishant Pathare,25,Singer,7.77788E+11,19,11/8/2020,11/22/2020,11/24/2020,jblSound300W,JBL 2.1 Channel 300W Soundbar System,soundSystems,JBL,2,19jblSound300W,del,400618,1,1,0
c2,Nishant Pathare,25,Singer,7.77788E+11,19,11/8/2020,11/22/2020,11/21/2020,motoG,Motorola Moto G 64GB,phones,Motorola,5,19motoG,del,400618,1,0,1
c2,Nishant Pathare,25,Singer,7.77788E+11,19,11/8/2020,11/22/2020,11/22/2020,motoGcover,Moto G Power Case,accessories,Motorola,3,19motoGcover,del,400618,1,0,0
c2,Nishant Pathare,25,Singer,7.77788E+11,19,11/8/2020,11/22/2020,11/23/2020,sony55inch,"Sony 55"" 4K UHD Smart Android TV",tvs,Sony,1,19sony55inch,del,400618,1,1,0
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/22/2020,boseLifestyle650,Bose Lifestyle 650 Home Entertainment System,soundSystems,Bose,1,20boseLifestyle650,del,600601,1,1,1
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/20/2020,fitBitCharge3,Fitbit Charge 3,wearableTechs,FitBit,4,20fitBitCharge3,del,600601,1,0,1
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/20/2020,hpSpectre,HP sprctre,laptops,HP,5,20hpSpectre,del,600601,1,0,1
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/20/2020,LG55inch,"LG 55"" 4K UHD Smart TV",tvs,LG,4,20LG55inch,del,600601,1,0,1
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/23/2020,nokia71,Nokia 7.1 Android 9.0 Pie 64GB,phones,Nokia,5,20nokia71,del,600601,1,0,0
c3,Ketan,26,Sales,7.87546E+11,20,11/8/2020,11/22/2020,11/22/2020,nokiaCover,Nokia 7.1 Protector Case,accessories,OnePlus,1,20nokiaCover,del,600601,1,1,0
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/21/2020,appleAirPods,Apple Airpods,accessories,Apple,5,21appleAirPods,del,600800,0,0,1
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/20/2020,echoPlus,Amazon Echo Plus,voiceAssistants,Amazon,2,21echoPlus,del,600800,0,1,1
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/20/2020,iphone11pro,iPhone 11 pro 64GB Space Gray,phones,Apple,1,21iphone11pro,del,600800,0,1,1
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/23/2020,samsungVR,Samsung Gear Virtual Reality Headset,wearableTechs,Samsung,2,21samsungVR,del,600800,0,1,0
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/21/2020,sony55inch,"Sony 55"" 4K UHD Smart Android TV",tvs,Sony,4,21sony55inch,del,600800,0,0,1
c3,Shubham,22,Electrical Engineer,2.34029E+11,21,11/8/2020,11/22/2020,11/24/2020,thinkPad,Lenovo ThinkPad,laptops,Lenovo,4,21thinkPad,del,600800,0,0,0
c1,Soham Suresh Satam,24,Software Engineer,9.08965E+11,22,11/8/2020,11/22/2020,11/20/2020,appleWatch,Apple Watch,wearableTechs,Apple,2,22appleWatch,del,400605,0,1,1
c1,Soham Suresh Satam,24,Software Engineer,9087654321,23,11/8/2020,11/22/2020,11/23/2020,jblSound300W,JBL 2.1 Channel 300W Soundbar System,soundSystems,JBL,2,23jblSound300W,del,400605,1,0,0
c4,Yash Raj FNU,23,Data Scientist,4.74344E+12,24,11/8/2020,11/22/2020,11/20/2020,echo3rdgen,Amazon Echo 3rd Generation,voiceAssistants,Amazon,2,24echo3rdgen,del,8907654,1,1,1
c4,Yash Raj FNU,23,Data Scientist,4.74344E+12,24,11/8/2020,11/22/2020,11/22/2020,galaxyS20,Samsung Galaxy S20 128GB Aura Blue,phones,Samsung,1,24galaxyS20,del,8907654,1,1,1
c4,Yash Raj FNU,23,Data Scientist,4.74344E+12,24,11/8/2020,11/22/2020,11/22/2020,oneplus7pro,OnePLus 7 Pro 256GB,phones,OnePlus,3,24oneplus7pro,del,8907654,1,0,1
c4,Yash Raj FNU,23,Data Scientist,4.74344E+12,24,11/8/2020,11/22/2020,11/23/2020,onePlusDash,One Plus Dash Charger,accessories,OnePlus,3,24onePlusDash,del,8907654,1,0,0
c4,Yash Raj FNU,23,Data Scientist,4.74344E+12,24,11/8/2020,11/22/2020,11/22/2020,s20backcover,Back cover for Samsung Galaxy S20,accessories,Samsung,2,24s20backcover,del,8907654,1,1,0
c5,Akshay Kulkarni,25,UI Designer,6.53476E+12,25,11/8/2020,11/22/2020,11/22/2020,appleAirPods,Apple Airpods,accessories,Apple,5,25appleAirPods,del,60616,1,0,1
c5,Akshay Kulkarni,25,UI Designer,6.53476E+12,25,11/8/2020,11/22/2020,11/22/2020,appleWatch,Apple Watch,wearableTechs,Apple,2,25appleWatch,del,60616,1,1,0
c5,Akshay Kulkarni,25,UI Designer,6.53476E+12,25,11/8/2020,11/22/2020,11/22/2020,iphone11pro,iPhone 11 pro 64GB Space Gray,phones,Apple,1,25iphone11pro,del,60616,1,1,0
c5,Akshay Kulkarni,25,UI Designer,6.53476E+12,25,11/8/2020,11/22/2020,11/22/2020,macBookPro,MacBook Pro 13 inch,laptops,Apple,5,25macBookPro,del,60616,1,0,0
